State,Month,Record High (øC),Average High (øC),Daily Mean (øC),Average Low (øC),Record Low (øC),Avg Precipitation (mm),Avg Precipitation Days (ò 1.0 mm),Avg Relative Humidity (%),Mean Monthly Sunshine hours
Uttarakhand,Feb,29,21.6,16.59,9.01,2,32.93,4.64,46.04,9.95
Uttarakhand,Mar,37,27.24,22.39,13.13,6,23.57,4.64,35.99,11.22
Uttarakhand,Apr,40,33,28.56,17.79,11,22.68,5.09,27.62,12.68
Uttarakhand,May,44,36.77,32.68,21.44,14,21.36,6.27,26.53,13.55
Uttarakhand,Jun,44,36.89,33.23,23.65,17,106.05,11.82,40.62,13.85
Uttarakhand,Jul,43,31.79,28.87,22.89,19,342.29,25.45,72.61,12.88
Uttarakhand,Aug,38,29.88,27.12,21.74,18,358.35,27.18,81.54,12.32
Uttarakhand,Sep,34,29.43,26.11,19.61,15,141.99,17.64,75.54,11.69
Uttarakhand,Nov,32,27.73,22.91,15.4,9,11.1,2.82,56.04,8.73
Uttarakhand,Oct,29,24.03,18.42,11.07,5,1.75,0.64,45.78,8.56
Uttarakhand,Dec,26,19.98,14.26,7.3,1,10.96,1.27,42.3,8.55
West Bengal,Jan,34,26.31,21.9,14.96,9,2.57,0.73,45.93,8.62
West Bengal,Feb,38,30.55,26.06,18.29,12,8.6,1.55,41.9,8.52
West Bengal,Mar,44,35.74,31.11,22.26,16,5.95,1.73,43.56,11.37
West Bengal,Apr,47,39.79,35.04,26.15,15,27.1,4.36,51.25,12.15
West Bengal,May,46,39.88,35.65,28.24,18,67.54,5.55,57.24,13.21
West Bengal,Jun,43,37.7,34.57,28.97,23,96.64,10.82,62.33,13.01
West Bengal,Jul,38,33.83,31.61,27.52,23,131.61,17.27,79.4,11.92
West Bengal,Aug,37,32.97,30.78,26.73,24,136.36,18.12,80.54,11.74
West Bengal,Sep,35,32.4,29.97,25.56,14,52.45,7.91,74.21,10.03
West Bengal,Oct,33,31.11,28.1,23.02,14,1.13,0.27,57.46,10.65
West Bengal,Nov,32,29.45,25.83,19.63,10,1.6,0.45,47.26,10.64
West Bengal,Dec,30,26.85,23.06,16.67,9,47.88,2.05,42.76,8.55
